task,slice_col,slice_value,n,MAE,RMSE,R2,MAPE_safe_pct
15m_speed,corridor_type,ring_road,862,5.984452162889394,7.979192967328057,0.7986537352553228,15.061993888549926
15m_speed,corridor_type,riverside_connector,431,4.8445207511845005,6.357700781656261,0.7675862434959597,14.848180041538003
15m_speed,corridor_type,university_corridor,431,3.1317573995304793,4.119990876121011,0.8464282078336945,16.155532417437872
15m_speed,is_peak_hour,0,7020,4.505684001497823,6.299767552875295,0.8616217818625334,13.193496790541708
15m_speed,is_peak_hour,1,1600,4.181977238217291,5.772609131661199,0.7629501957369558,29.125382794322967
15m_speed,rain_flag,0,7440,4.3157424735164245,5.99997091877344,0.8950943479863928,15.134674990072778
15m_speed,rain_flag,1,1180,5.264357007373037,7.369351455432265,0.8387318602347966,22.556761029133988
15m_speed,heavy_rain_flag,0,8360,4.365129175822134,6.078713676820409,0.8926308431114537,15.69680637388457
15m_speed,heavy_rain_flag,1,260,7.033020622266685,9.407793937415418,0.7313485358754321,30.74484098017136
60m_speed,city_key,ha_noi,4280,4.051348363844388,5.504115074493495,0.910079901493996,16.080298225807756
60m_speed,city_key,tp_hcm,4280,4.932240508126513,6.8454148931221495,0.8651002226539694,17.66620678206865
60m_speed,road_class,airport_highway,856,5.792170361071747,7.6245473279211575,0.8375059132268895,15.724925666461095
60m_speed,road_class,bridge_corridor,856,4.543751880747237,5.842386247334319,0.7887584331551686,14.644755581865269
60m_speed,road_class,commercial_street,856,3.0284003814509064,4.038342348327987,0.7851276289399065,18.54783716652865
60m_speed,road_class,highway_connector,1712,6.290778721865067,8.37224916677004,0.7661010669535714,17.499669434124048
60m_speed,road_class,narrow_old_quarter,428,2.1184945687014665,2.8282604203504014,0.7251169190324329,16.96076085525108
60m_speed,road_class,ring_road,856,6.042933812069327,8.070454219651602,0.7952011574177199,15.74225778081408
60m_speed,road_class,urban_arterial,2996,3.3913951989812636,4.403850882549411,0.8329659858832659,17.3122941565255
60m_speed,corridor_type,airport_access,856,5.792170361071747,7.6245473279211575,0.8375059132268895,15.724925666461095
60m_speed,corridor_type,airport_gateway,428,5.359181453910733,6.986485786024793,0.7949261998818674,13.57621592836347
60m_speed,corridor_type,canal_expressway,428,6.453628512853735,8.731923072417688,0.7170017130927904,21.68227160214345
60m_speed,corridor_type,cbd_commercial,428,2.1184945687014665,2.8282604203504014,0.7251169190324329,16.96076085525108
60m_speed,corridor_type,cbd_connector,428,3.0270253049252838,3.8736134102918305,0.8377761712746189,16.318635504535134
60m_speed,corridor_type,commercial_zone,428,2.581870005872713,3.3952212961054946,0.7712671833965552,16.936421482849052
60m_speed,corridor_type,cross_river_bridge,428,4.320340681274761,5.497662229487897,0.7891226421483427,14.603428330715145
60m_speed,corridor_type,eastern_gateway,428,7.247997656972355,9.39741572757984,0.7464310353852328,18.353384294603572
60m_speed,corridor_type,gateway_connector,428,6.102307263723443,8.185923155271785,0.777845110332475,16.386805911385707
60m_speed,corridor_type,port_access,428,3.474930757029099,4.5922641686939265,0.7612810886666693,20.159252850208258
60m_speed,corridor_type,radial_corridor,1712,3.6212884285432296,4.69914870441142,0.8203717254019145,17.434500165806934
60m_speed,corridor_type,residential_commute,428,3.0462783488326735,3.8911663627599484,0.8323737485889927,17.75975605876028
60m_speed,corridor_type,ring_road,856,6.042933812069327,8.070454219651602,0.7952011574177199,15.74225778081408
60m_speed,corridor_type,riverside_connector,428,4.767163080219714,6.167873550628654,0.7823039938292465,14.686082833015387
60m_speed,corridor_type,university_corridor,428,3.1813090249379683,4.157314935191377,0.8439940600307966,17.36966686915537
60m_speed,is_peak_hour,0,6960,4.452847053757206,6.15421225685355,0.8811137974894202,14.310720593713716
60m_speed,is_peak_hour,1,1600,4.661215548678317,6.45261678796187,0.8492426048702381,28.02026631341471
60m_speed,rain_flag,0,7380,4.450777413580803,6.155919271557766,0.890415163874041,16.422933266066217
60m_speed,rain_flag,1,1180,4.748324626956896,6.545520094395449,0.8710902324479299,19.68965587300197
60m_speed,heavy_rain_flag,0,8300,4.438930771997482,6.124193496125918,0.8910808049220024,16.504602908288653
